web-scraper-order,web-scraper-start-url,Linking,Linking-href
"1685315037-1","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2023&auction_kind=live","Post-War and Contemporary Art 
                            
                            25 May 2023 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1322ASW119
                                    

                                    
                                        Auction turnover :
                                        8,247,600 PLN","https://desa.pl/en/art-auctions-results/post-war-and-contemporary-art-81zv/"
"1685315037-2","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2023&auction_kind=live","Young Polish Artists
                            
                            23 May 2023 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1320AMS167
                                    

                                    
                                        Auction turnover :
                                        245,160 PLN","https://desa.pl/en/art-auctions-results/young-polish-artists-7yl0/"
"1685315037-3","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2023&auction_kind=live","Works on Paper. 19th Century and Modern Art
                            
                            18 May 2023 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1317APP123
                                    

                                    
                                        Auction turnover :
                                        1,992,960 PLN","https://desa.pl/en/art-auctions-results/works-on-paper-19th-century-and-modern-art-glwo/"
"1685315037-4","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2023&auction_kind=live","Old Masters and Modern Prints
                            
                            17 May 2023 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1316APP122
                                    

                                    
                                        Auction turnover :
                                        190,200 PLN","https://desa.pl/en/art-auctions-results/old-masters-and-modern-prints-cz3u/"
"1685315037-5","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2023&auction_kind=live","Contemporary Prints
                            
                            16 May 2023 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1315APP121
                                    

                                    
                                        Auction turnover :
                                        294,000 PLN","https://desa.pl/en/art-auctions-results/contemporary-prints-4yze/"
"1685315037-6","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2023&auction_kind=live","Ecole de Paris
                            
                            11 May 2023 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1313ASD235
                                    

                                    
                                        Auction turnover :
                                        6,138,600 PLN","https://desa.pl/en/art-auctions-results/ecole-de-paris-e05o/"
"1685315037-7","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2023&auction_kind=live","Works on Paper Post-War and Contemporary Art 
                            
                            9 May 2023 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1311APP120
                                    

                                    
                                        Auction turnover :
                                        969,720 PLN","https://desa.pl/en/art-auctions-results/works-on-paper-post-war-and-contemporary-art-w1ne/"
"1685315037-8","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2023&auction_kind=live","Young Polish Artists
                            
                            8 May 2023 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1310AMS166
                                    

                                    
                                        Auction turnover :
                                        278,880 PLN","https://desa.pl/en/art-auctions-results/young-polish-artists-vkjh/"
"1685315037-9","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2023&auction_kind=live","Collector Photography. Fame, Celebrities, Personalities
                            
                            27 April 2023 8 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1307FOT033
                                    

                                    
                                        Auction turnover :
                                        99,840 PLN","https://desa.pl/en/art-auctions-results/collector-photography-fame-celebrities-personalities/"
"1685315037-10","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2023&auction_kind=live","Collector Photography. Classics and artistic Avant-garde
                            
                            27 April 2023 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1306FOT032
                                    

                                    
                                        Auction turnover :
                                        502,440 PLN","https://desa.pl/en/art-auctions-results/collector-photography-classics-and-artistic-avant-garde-idab/"
"1685315037-11","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2023&auction_kind=live","Nikifor/Dwurnik. Dialogue of the Masters
                            
                            26 April 2023 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1305KOL036
                                    

                                    
                                        Auction turnover :
                                        1,123,200 PLN","https://desa.pl/en/art-auctions-results/dwurnik-nikifor/"
"1685315037-12","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2023&auction_kind=live","Polish Glass. Art & Design
                            
                            25 April 2023 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1303DES023
                                    

                                    
                                        Auction turnover :
                                        246,360 PLN","https://desa.pl/en/art-auctions-results/polish-glass-art-design/"
"1685315037-13","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2023&auction_kind=live","Art Outlet. 19th Century and Modern Art
                            
                            20 April 2023 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1300WYP072
                                    

                                    
                                        Auction turnover :
                                        1,076,160 PLN","https://desa.pl/en/art-auctions-results/art-outlet-19th-century-and-modern-art-q9da/"
"1685315037-14","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2023&auction_kind=live","Young Polish Artists
                            
                            19 April 2023 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1298AMS165
                                    

                                    
                                        Auction turnover :
                                        274,200 PLN","https://desa.pl/en/art-auctions-results/young-polish-artists-bvn2/"
"1685315037-15","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2023&auction_kind=live","Jewellery. Masterpieces of Art of 19th and 20th Century
                            
                            17 April 2023 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1297ABD047
                                    

                                    
                                        Auction turnover :
                                        335,280 PLN","https://desa.pl/en/art-auctions-results/jewellery-masterpieces-of-art-of-19th-and-20th-century-qnjm/"
"1685315037-16","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2023&auction_kind=live","Modern and Contemporary Sculpture
                            
                            13 April 2023 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1296ARZ021
                                    

                                    
                                        Auction turnover :
                                        5,441,400 PLN","https://desa.pl/en/art-auctions-results/modern-and-contemporary-sculpture-8tj6/"
"1685315037-17","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2023&auction_kind=live","Young Polish Artists
                            
                            4 April 2023 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1295AMS164
                                    

                                    
                                        Auction turnover :
                                        221,880 PLN","https://desa.pl/en/art-auctions-results/young-polish-artists-lglh/"
"1685315037-18","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2023&auction_kind=live","10th Auction of Contemporary Art of the Bátor Tábor Polska Foundation
                            
                            31 March 2023 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1294ACH051
                                    

                                    
                                        Auction turnover :
                                        378,600 PLN","https://desa.pl/en/art-auctions-results/10-aukcja-sztuki-wspolczesnej-fundacji-bator-tabor-polska/"
